site,family,genus,latin_name,species_code,life_form,warning
wytham woods,Fagaceae,Castanea,Castanea sativa,CASTSA,Tree,NA
wytham woods,Cornaceae,Cornus,Cornus sanguinea,CORNSA,Shrub,NA
wytham woods,Betulaceae,Corylus,Corylus avellana,CORYAV,Shrub,NA
wytham woods,Rosaceae,Crataegus,Crataegus monogyna,CRATMO,Shrub,NA
wytham woods,Celastraceae,Euonymus,Euonymus europaeus,EUONEU,Shrub,NA
wytham woods,Fagaceae,Fagus,Fagus sylvatica,FAGUSY,Tree,NA
wytham woods,Rhamnaceae,Frangula,Frangula alnus,FRANAL,Shrub,NA
wytham woods,Oleaceae,Fraxinus,Fraxinus excelsior,FRAXEX,Tree,NA
wytham woods,Aquifoliaceae,Ilex,Ilex aquifolium,ILEXAQ,Shrub,NA
wytham woods,Pinaceae,Larix,Larix decidua,LARIDE,Tree,NA
wytham woods,Pinaceae,Picea,Picea abies,PICEAB,Tree,NA
wytham woods,Pinaceae,Pinus,Pinus sylvatica,PINUSY,Tree,NA
wytham woods,Rosaceae,Prunus,Prunus avium,PRUNAV,Tree,NA
wytham woods,Rosaceae,Prunus,Prunus spinosa,PRUNSP,Tree,NA
wytham woods,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,PSEUME,Tree,NA
wytham woods,Fagaceae,Quercus,Quercus robur,QUERRO,Tree,NA
wytham woods,Salicaceae,Salix,Salix sp.,SALISP,Tree,NA
wytham woods,Adoxaceae,Sambucus,Sambucus nigra,SAMBNI,Shrub,NA
wytham woods,Taxaceae,Taxus,Taxus baccata,TAXUBA,Tree,NA
wytham woods,Malvaceae,Tilia,Tilia x europaea,TILIEU,Tree,NA
yosemite,Pinaceae,Abies,Abies concolor,ABCO,Tree,NA
yosemite,Pinaceae,Abies,Abies magnifica,ABMA,Tree,NA
yosemite,Pinaceae,Abies,Abies sp.,ABSP,Tree,NA
yosemite,Pinaceae,Abies,Abies spp.,ABSP,Tree,NA
yosemite,Ericaceae,Arctostaphylos,Arctostaphylos patula,ARPA,Shrub,NA
yosemite,Cupressaceae,Calocedrus,Calocedrus decurrens,CADE,Tree,NA
yosemite,Rhamnaceae,Ceanothus,Ceanothus cordulatus,CECO,Shrub,NA
yosemite,Rhamnaceae,Ceanothus,Ceanothus integerrimus,CEIN,Shrub,NA
yosemite,Rhamnaceae,Ceanothus,Ceanothus parvifolius,CEPA,Shrub,NA
yosemite,Fagaceae,Chrysolepis,Chrysolepis sempervirens,CHSE,Shrub,NA
yosemite,Cornaceae,Cornus,Cornus nuttallii,CONU,Tree,NA
yosemite,Cornaceae,Cornus,Cornus sericea,COSE,Shrub,NA
yosemite,Betulaceae,Corylus,Corylus cornuta subsp. californica,COCOC,Shrub,NA
yosemite,Rosaceae,Holodiscus,Holodiscus discolor,HODI,Shrub,NA
yosemite,Ericaceae,Leucothoe,Leucothoe davisiae,LEDA,Shrub,NA
yosemite,Pinaceae,Pinus,Pinus lambertiana,PILA,Tree,NA
yosemite,Pinaceae,Pinus,Pinus ponderosa,PIPO,Tree,NA
